dm,gdr,smk,age,sbp,chl,refv,AFR_D,AFR_E,AMR_A,AMR_B,AMR_D,EMR_B,EMR_D,EUR_A,EUR_B,EUR_C,SEAR_B,SEAR_D,WPR_B,WPR_A
1,1,0,60,180,4,601101804,>=40%,30% to <40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,20% to <30%,>=40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,0,60,180,5,601101805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,60,180,6,601101806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,60,180,7,601101807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,60,180,8,601101808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,70,120,4,701101204,<10%,<10%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,10% to <20%,<10%
1,1,0,70,120,5,701101205,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%
1,1,0,70,120,6,701101206,10% to <20%,10% to <20%,30% to <40%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,1,0,70,120,7,701101207,10% to <20%,10% to <20%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,30% to <40%,20% to <30%,10% to <20%
1,1,0,70,120,8,701101208,20% to <30%,20% to <30%,>=40%,30% to <40%,30% to <40%,30% to <40%,>=40%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,>=40%,20% to <30%,20% to <30%
1,1,0,70,140,4,701101404,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,20% to <30%,20% to <30%,10% to <20%
1,1,0,70,140,5,701101405,10% to <20%,10% to <20%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,30% to <40%,20% to <30%,10% to <20%
1,1,0,70,140,6,701101406,20% to <30%,20% to <30%,>=40%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,30% to <40%,20% to <30%
1,1,0,70,140,7,701101407,30% to <40%,20% to <30%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,0,70,140,8,701101408,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,0,70,160,4,701101604,20% to <30%,10% to <20%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,30% to <40%,20% to <30%
1,1,0,70,160,5,701101605,20% to <30%,20% to <30%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,20% to <30%,>=40%,>=40%,30% to <40%
1,1,0,70,160,6,701101606,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,0,70,160,7,701101607,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%
1,1,0,70,160,8,701101608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,70,180,4,701101804,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,70,180,5,701101805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,70,180,6,701101806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,70,180,7,701101807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,70,180,8,701101808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,40,120,4,400011204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,40,120,5,400011205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,40,120,6,400011206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,40,120,7,400011207,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,40,120,8,400011208,<10%,<10%,10% to <20%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
0,0,1,40,140,4,400011404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,40,140,5,400011405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,40,140,6,400011406,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,40,140,7,400011407,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,1,40,140,8,400011408,20% to <30%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,20% to <30%,10% to <20%,20% to <30%,>=40%,20% to <30%,10% to <20%
0,0,1,40,160,4,400011604,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,40,160,5,400011605,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,1,40,160,6,400011606,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,20% to <30%,20% to <30%,10% to <20%,<10%
0,0,1,40,160,7,400011607,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,<10%,20% to <30%,10% to <20%,30% to <40%,>=40%,20% to <30%,10% to <20%
0,0,1,40,160,8,400011608,>=40%,30% to <40%,>=40%,>=40%,>=40%,20% to <30%,30% to <40%,10% to <20%,>=40%,20% to <30%,>=40%,>=40%,>=40%,20% to <30%
0,0,1,40,180,4,400011804,10% to <20%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,20% to <30%,<10%,20% to <30%,10% to <20%,30% to <40%,30% to <40%,20% to <30%,20% to <30%
0,0,1,40,180,5,400011805,20% to <30%,30% to <40%,30% to <40%,>=40%,30% to <40%,20% to <30%,30% to <40%,10% to <20%,30% to <40%,20% to <30%,>=40%,>=40%,30% to <40%,20% to <30%
0,0,1,40,180,6,400011806,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
0,0,1,40,180,7,400011807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,40,180,8,400011808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,50,120,4,500011204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,50,120,5,500011205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,50,120,6,500011206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,50,120,7,500011207,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,1,50,120,8,500011208,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
0,0,1,50,140,4,500011404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,50,140,5,500011405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,50,140,6,500011406,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,1,50,140,7,500011407,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,20% to <30%,10% to <20%,<10%
0,0,1,50,140,8,500011408,20% to <30%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,20% to <30%,10% to <20%,20% to <30%,>=40%,20% to <30%,10% to <20%
0,0,1,50,160,4,500011604,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,1,50,160,5,500011605,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,10% to <20%,<10%
0,0,1,50,160,6,500011606,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,20% to <30%,30% to <40%,10% to <20%,10% to <20%
0,0,1,50,160,7,500011607,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,>=40%,20% to <30%,10% to <20%
0,0,1,50,160,8,500011608,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,10% to <20%,>=40%,20% to <30%,>=40%,>=40%,>=40%,20% to <30%
0,0,1,50,180,4,500011804,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,20% to <30%
0,0,1,50,180,5,500011805,30% to <40%,30% to <40%,30% to <40%,>=40%,30% to <40%,30% to <40%,30% to <40%,10% to <20%,30% to <40%,20% to <30%,>=40%,>=40%,>=40%,20% to <30%
0,0,1,50,180,6,500011806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
0,0,1,50,180,7,500011807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,50,180,8,500011808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,60,120,4,600011204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,1,60,120,5,600011205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,1,60,120,6,600011206,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,1,60,120,7,600011207,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
0,0,1,60,120,8,600011208,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,<10%,10% to <20%,<10%,20% to <30%,30% to <40%,10% to <20%,<10%
0,0,1,60,140,4,600011404,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,1,60,140,5,600011405,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
0,0,1,60,140,6,600011406,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,20% to <30%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,10% to <20%,<10%
0,0,1,60,140,7,600011407,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,20% to <30%,<10%,10% to <20%,10% to <20%,20% to <30%,>=40%,10% to <20%,<10%
0,0,1,60,140,8,600011408,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,>=40%,>=40%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,>=40%,20% to <30%,10% to <20%
0,0,1,60,160,4,600011604,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,10% to <20%,<10%
0,0,1,60,160,5,600011605,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,<10%,10% to <20%,10% to <20%,20% to <30%,30% to <40%,10% to <20%,10% to <20%
0,0,1,60,160,6,600011606,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,<10%,10% to <20%,10% to <20%,30% to <40%,>=40%,20% to <30%,10% to <20%
0,0,1,60,160,7,600011607,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,>=40%,>=40%,10% to <20%,20% to <30%,10% to <20%,>=40%,>=40%,20% to <30%,10% to <20%
0,0,1,60,160,8,600011608,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,20% to <30%,>=40%,>=40%,>=40%,20% to <30%
0,0,1,60,180,4,600011804,30% to <40%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,>=40%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,>=40%,>=40%,30% to <40%,20% to <30%
0,0,1,60,180,5,600011805,>=40%,30% to <40%,30% to <40%,>=40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,20% to <30%
0,0,1,60,180,6,600011806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%
0,0,1,60,180,7,600011807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,60,180,8,600011808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,70,120,4,700011204,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,1,70,120,5,700011205,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,1,70,120,6,700011206,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,1,70,120,7,700011207,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,<10%
0,0,1,70,120,8,700011208,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,30% to <40%,10% to <20%,10% to <20%
0,0,1,70,140,4,700011404,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%
0,0,1,70,140,5,700011405,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
0,0,1,70,140,6,700011406,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
0,0,1,70,140,7,700011407,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,>=40%,10% to <20%,10% to <20%
0,0,1,70,140,8,700011408,20% to <30%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,>=40%,>=40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%
0,0,1,70,160,4,700011604,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
0,0,1,70,160,5,700011605,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,30% to <40%,20% to <30%,10% to <20%
0,0,1,70,160,6,700011606,20% to <30%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,>=40%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%
0,0,1,70,160,7,700011607,30% to <40%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,20% to <30%,30% to <40%,>=40%,>=40%,30% to <40%,20% to <30%
0,0,1,70,160,8,700011608,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%
0,0,1,70,180,4,700011804,30% to <40%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,>=40%,30% to <40%,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,20% to <30%
0,0,1,70,180,5,700011805,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%
0,0,1,70,180,6,700011806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,70,180,7,700011807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,1,70,180,8,700011808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,0,40,120,4,400001204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,120,5,400001205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,120,6,400001206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,120,7,400001207,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,120,8,400001208,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%
0,0,0,40,140,4,400001404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,140,5,400001405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,140,6,400001406,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,140,7,400001407,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%
0,0,0,40,140,8,400001408,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,<10%,20% to <30%,20% to <30%,10% to <20%,<10%
0,0,0,40,160,4,400001604,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,160,5,400001605,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,40,160,6,400001606,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,0,40,160,7,400001607,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,<10%,20% to <30%,20% to <30%,10% to <20%,<10%
0,0,0,40,160,8,400001608,20% to <30%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,<10%,20% to <30%,10% to <20%,>=40%,>=40%,20% to <30%,10% to <20%
0,0,0,40,180,4,400001804,<10%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%
0,0,0,40,180,5,400001805,10% to <20%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,10% to <20%
0,0,0,40,180,6,400001806,20% to <30%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,>=40%,30% to <40%,30% to <40%,20% to <30%
0,0,0,40,180,7,400001807,>=40%,30% to <40%,>=40%,>=40%,>=40%,20% to <30%,30% to <40%,10% to <20%,>=40%,20% to <30%,>=40%,>=40%,>=40%,30% to <40%
0,0,0,40,180,8,400001808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,0,50,120,4,500001204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,50,120,5,500001205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,50,120,6,500001206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,50,120,7,500001207,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,50,120,8,500001208,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,0,50,140,4,500001404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,50,140,5,500001405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,50,140,6,500001406,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,50,140,7,500001407,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,0,50,140,8,500001408,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,20% to <30%,20% to <30%,10% to <20%,<10%
0,0,0,50,160,4,500001604,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,50,160,5,500001605,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,0,50,160,6,500001606,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,0,50,160,7,500001607,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,20% to <30%,20% to <30%,10% to <20%,<10%
0,0,0,50,160,8,500001608,20% to <30%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,>=40%,>=40%,20% to <30%,10% to <20%
0,0,0,50,180,4,500001804,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%
0,0,0,50,180,5,500001805,10% to <20%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,<10%,20% to <30%,10% to <20%,30% to <40%,30% to <40%,20% to <30%,10% to <20%
0,0,0,50,180,6,500001806,20% to <30%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,20% to <30%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,>=40%,>=40%,30% to <40%,20% to <30%
0,0,0,50,180,7,500001807,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,10% to <20%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
0,0,0,50,180,8,500001808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
0,0,0,60,120,4,600001204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,60,120,5,600001205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,60,120,6,600001206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,60,120,7,600001207,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,0,60,120,8,600001208,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
0,0,0,60,140,4,600001404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
0,0,0,60,140,5,600001405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
0,0,0,60,140,6,600001406,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
